Threads,Tempo (ms),Espaços,Tamanho
1,6,90,16
3,4,90,16
1,14,50,9
3,11,50,9
9,10,50,9
1,6,60,9
3,5,60,9
9,5,60,9
1,5,50,9
3,7,50,9
9,4,50,9
1,1,70,16
3,0,70,16
1,1,80,16
3,1,80,16
3,9,10,9
1,0,10,9
9,3,10,9
3,2,10,9
1,0,10,9
1,14,10,9
1,0,10,9
1,0,10,9
1,0,10,9
1,0,10,9
1,1,10,9
1,0,10,9
1,0,10,9
1,0,10,9
1,0,10,9
1,0,20,9
1,0,20,9
1,0,20,9
1,0,20,9
1,0,20,9
1,0,20,9
1,0,20,9
1,1,20,9
1,1,20,9
1,0,20,9
1,1,30,9
1,0,30,9
1,6,30,9
1,0,30,9
1,0,30,9
1,0,30,9
1,0,30,9
1,1,30,9
1,0,30,9
1,1,30,9
1,0,40,9
1,0,40,9
1,0,40,9
1,0,40,9
1,1,40,9
1,1,40,9
1,1,40,9
1,1,40,9
1,1,40,9
1,0,40,9
1,3,50,9
1,2,50,9
1,2,50,9
1,3,50,9
1,4,50,9
1,0,50,9
1,1,50,9
1,68,50,9
1,2,50,9
1,10,50,9
1,1,60,9
1,1,60,9
1,11,60,9
1,5,60,9
1,0,60,9
1,0,60,9
1,8,60,9
1,4,60,9
1,19,60,9
3,0,10,9
3,1,10,9
3,3,10,9
3,0,10,9
3,0,10,9
3,2,10,9
3,1,10,9
3,0,10,9
3,0,10,9
3,0,10,9
3,1,20,9
3,0,20,9
3,0,20,9
3,0,20,9
3,7,20,9
3,3,20,9
3,0,20,9
3,1,20,9
3,1,20,9
3,0,20,9
3,0,30,9
3,1,30,9
3,3,30,9
3,1,30,9
3,0,30,9
3,3,30,9
3,2,30,9
3,2,30,9
3,1,30,9
3,1,30,9
3,0,40,9
3,0,40,9
3,1,40,9
3,8,40,9
3,2,40,9
3,1,40,9
3,1,40,9
3,1,40,9
3,1,40,9
3,8,40,9
3,2,50,9
3,6,50,9
3,44,50,9
3,10,50,9
3,1,50,9
3,8,50,9
3,8,50,9
3,1,50,9
3,25,50,9
3,33,50,9
3,16,60,9
3,10,60,9
3,1662,60,9
3,0,60,9
3,97,60,9
3,0,60,9
3,0,60,9
3,1,60,9
3,0,60,9
3,1,60,9
9,0,10,9
9,0,10,9
9,0,10,9
9,0,10,9
9,0,10,9
9,0,10,9
9,0,10,9
9,0,10,9
9,0,10,9
9,0,10,9
9,0,20,9
9,0,20,9
9,0,20,9
9,0,20,9
9,0,20,9
9,0,20,9
9,0,20,9
9,0,20,9
9,2,20,9
9,0,20,9
9,1,30,9
9,0,30,9
9,0,30,9
9,0,30,9
9,0,30,9
9,0,30,9
9,0,30,9
9,1,30,9
9,1,30,9
9,1,30,9
9,2,40,9
9,0,40,9
9,1,40,9
9,0,40,9
9,1,40,9
9,0,40,9
9,2,40,9
9,0,40,9
9,1,40,9
9,1,40,9
9,0,50,9
9,8,50,9
9,4,50,9
9,2,50,9
9,7,50,9
9,2,50,9
9,2,50,9
9,0,50,9
9,2,50,9
9,2,50,9
9,1,60,9
9,1,60,9
9,1,60,9
9,0,60,9
9,2,60,9
9,1,60,9
9,1,60,9
9,1,60,9
9,1,60,9
9,8,60,9
1,0,10,16
1,1,10,16
1,1,10,16
1,0,10,16
1,0,10,16
1,0,10,16
1,0,10,16
1,1,10,16
1,0,10,16
1,0,10,16
1,1,20,16
1,0,20,16
1,1,20,16
1,23,10,9
1,1,10,9
1,2,10,9
1,2,10,9
1,2,10,9
1,4,10,9
1,3,10,9
1,2,10,9
1,0,10,9
1,0,10,9
1,0,20,9
1,1,20,9
1,1,20,9
1,1,20,9
1,0,20,9
1,0,20,9
1,0,20,9
1,2,20,9
1,4,20,9
1,0,20,9
1,1,30,9
1,1,30,9
1,2,30,9
1,4,30,9
1,0,30,9
1,0,30,9
1,0,30,9
1,1,30,9
1,0,30,9
1,1,30,9
1,8,40,9
1,1,40,9
1,24,40,9
1,0,40,9
1,16,40,9
1,1,40,9
1,3,40,9
1,3,40,9
1,4,40,9
1,1,40,9
1,1,50,9
1,1,50,9
1,0,50,9
1,2,50,9
1,0,50,9
1,3,50,9
1,1,50,9
1,1,50,9
1,0,50,9
1,0,50,9
1,527,60,9
1,0,60,9
1,0,60,9
1,0,60,9
1,0,60,9
1,0,60,9
1,10,20,16
1,0,20,16
1,0,20,16
1,1,20,16
1,0,20,16
1,0,20,16
1,0,20,16
1,1,30,16
1,1,30,16
1,0,30,16
1,1,30,16
1,0,30,16
1,0,30,16
1,0,30,16
1,0,30,16
1,1,30,16
1,0,30,16
1,0,40,16
1,0,40,16
1,0,40,16
1,0,40,16
1,0,40,16
1,0,40,16
1,1,40,16
1,1,40,16
1,1,40,16
1,1,40,16
1,1,50,16
1,0,50,16
1,0,50,16
1,0,50,16
1,0,50,16
1,0,50,16
1,1,50,16
1,0,50,16
1,0,50,16
1,1,50,16
1,0,60,16
1,1,60,16
1,0,60,16
1,0,60,16
1,0,60,16
1,10,60,16
1,0,60,16
1,1,60,16
1,0,60,16
1,1,60,16
1,1,70,16
1,0,70,16
1,1,70,16
1,0,70,16
1,1,70,16
1,1,70,16
1,0,70,16
1,1,70,16
1,0,70,16
1,0,70,16
1,1,80,16
1,1,80,16
1,2,80,16
1,0,80,16
1,1,80,16
1,0,80,16
1,0,80,16
1,0,80,16
1,0,80,16
1,0,80,16
1,1,90,16
1,0,90,16
1,0,90,16
1,0,90,16
1,0,90,16
1,0,90,16
1,0,90,16
1,0,90,16
1,0,90,16
1,1,90,16
1,13,100,16
1,1,100,16
1,0,100,16
1,0,100,16
1,2,100,16
1,4,100,16
1,2,100,16
1,2,100,16
1,1,100,16
1,4,100,16
1,6,110,16
1,4,110,16
1,1,110,16
1,2,110,16
1,4,110,16
1,1,110,16
1,6,110,16
1,0,110,16
1,1,110,16
1,18,110,16
2,7,20,16
2,1,20,16
2,1,20,16
2,0,20,16
2,0,20,16
2,1,20,16
2,0,20,16
2,1,30,16
2,0,30,16
2,0,30,16
2,0,30,16
2,1,30,16
2,1,30,16
2,0,30,16
2,0,30,16
2,0,30,16
2,0,30,16
2,0,40,16
2,16,20,16
2,0,20,16
2,0,20,16
2,0,20,16
2,1,20,16
2,1,20,16
2,0,20,16
2,0,30,16
2,0,30,16
2,1,30,16
2,0,30,16
2,0,30,16
2,0,30,16
2,0,30,16
2,1,30,16
2,0,30,16
2,0,30,16
2,1,40,16
2,0,40,16
2,0,40,16
2,1,40,16
2,1,40,16
2,0,40,16
2,0,40,16
2,1,40,16
2,0,40,16
2,7,10,16
2,0,10,16
2,0,10,16
2,1,10,16
2,0,10,16
3,1,10,16
3,0,10,16
3,0,10,16
3,0,10,16
3,0,10,16
4,1,10,16
4,0,10,16
4,1,10,16
4,1,10,16
4,0,10,16
8,2,10,16
8,1,10,16
8,0,10,16
8,0,10,16
8,2,10,16
16,0,10,16
16,2,10,16
16,2,10,16
16,0,10,16
16,2,10,16
2,0,20,16
2,1,20,16
2,0,20,16
2,0,20,16
2,0,20,16
3,0,20,16
3,0,20,16
3,0,20,16
3,1,20,16
3,0,20,16
4,12,20,16
4,1,20,16
4,0,20,16
4,1,20,16
4,1,20,16
8,0,20,16
8,0,20,16
8,0,20,16
